title,description,originalPrice,discountedPrice,quantityAvailable,expirationDate,categoryName
خبز بلدي طازج,خبز ردة بلدي طازج يومي,20.00,10.00,30,2026-08-15,مخبوزات
جبنة بيضاء دومتي 500 جم,جبنة فيتا طبيعية,55.00,30.00,12,2026-08-25,منتجات ألبان
طماطم بلدي 2 كجم,طماطم طازجة درجة أولى,40.00,20.00,15,2026-08-12,فواكه وخضروات
صدور دجاج متبلة 1 كجم,دجاج طازج مبرد وجاهز للطهي,175.00,115.00,8,2026-08-11,لحوم ودواجن
عصير برتقال طبيعي 1 لتر,عصير طازج بدون سكر مضاف,45.00,22.50,14,2026-08-18,مشروبات
باتيه بالجبنة الرومي,باتيه طازج من المخبز,25.00,15.00,20,2026-08-14,مخبوزات
لبن طبيعي مبستر 1 لتر,لبن بقري كامل الدسم,38.00,25.00,18,2026-08-16,منتجات ألبان
وجبة أرز وخضار مشكل,وجبة جاهزة معبأة طازجة,70.00,35.00,6,2026-08-10,وجبات جاهزة
سمك فيليه قشر بياض 500 جم,فيليه مبرد طازج,190.00,130.00,5,2026-08-12,مأكولات بحرية
تفاح أحمر مصري 1 كجم,تفاح بلدي طازج,50.00,25.00,25,2026-08-17,فواكه وخضروات
