title,description,originalPrice,discountedPrice,quantityAvailable,expirationDate,categoryName
Artisan Sourdough Loaf,Freshly baked crusty bread,45.00,22.50,10,2026-08-20,Bakery
Greek Yogurt 500g,Organic plain Greek yogurt,70.00,35.00,8,2026-08-15,Dairy
Organic Bananas 1kg,Ripe surplus bananas,30.00,15.00,20,2026-08-12,Fruits & Vegetables
Chicken Breast Fillet 1kg,Fresh chilled poultry,180.00,120.00,5,2026-08-11,Meat & Poultry
Orange Juice 1L,Cold pressed 100% juice,40.00,20.00,12,2026-08-18,Beverages
Croissant Butter Pack,Pack of 4 fresh baked croissants,60.00,30.00,15,2026-08-14,Bakery
Mixed Salad Greens 250g,Ready to eat fresh greens,25.00,12.50,10,2026-08-13,Fruits & Vegetables
Pasteurized Whole Milk 1L,Fresh cow milk,38.00,25.00,18,2026-08-16,Dairy
Salmon Fillet 400g,Fresh Atlantic salmon,220.00,150.00,4,2026-08-11,Seafood
Ready Meal Rice & Meat,Pre-packaged ready meal,85.00,45.00,7,2026-08-10,Ready Meals
